CNS,COD_IDENTIFICACAO_UNICA,DAT_INSTALACAO,DSC_BAIRRO_SERVENTIA,DSC_CEP_SERVENTIA,DSC_COMPLEMENTO,DSC_DENOMINACAO_SERVENTIA,DSC_DISTRITO,DSC_EMAIL_SERVENTIA,DSC_END_SERVENTIA,DSC_SUB_DISTRITO,DS_CIDADE,FLG_STATUS,IND_TIPO_SITUACAO,IND_UF,NUM_CNPJ_SERVENTIA,NUM_FAX_SERVENTIA,SEQ_DADOS_SERVENTIA,atribuicoes,cidade,cidade_id,decisao_atual,estado,estado_id,estado_sigla,num_telefone_serventia,num_telefone_serventia_2,responsavel
01.917-4,019174,1988-03-18,ALDEOTA,60120020,,CARTORIO DO REGISTRO DE IMOVEIS DA 4a ZONA,,cri4cartmbezerra@uol.com.br,RUA SILVA PAULET 1180,,FORTALEZA,1,0,CE,23443609000130,8532246931,3610,Registro de Imóveis,Fortaleza,948,PROVIDO,Ceará,10,CE,8532246931,,CLAUDIO NARCELIO MIRANDA BEZERRA
02.081-8,020818,1994-10-17,MEIRELES,60170250,lj 01,REGISTRO CIVIL DISTRITO MUCURIPE,FORTALEZA,atendimento@cartoriomucuripe.com.br,AV SENADOR VIRGILIO TAVORA 318 LJ 01,,FORTALEZA,1,0,CE,06573471000175,,3682,Registro Civil das Pessoas Naturais,Fortaleza,948,PENDÊNCIA JUDICIAL CAPAZ DE AFASTAR A ANÁLISE DO CASO PELO CNJ.,Ceará,10,CE,8532422232,,MARIA ELENIR LIMA SALES LIBERATO
02.071-9,020719,1919-09-26,DIONISIO  TORRES,60135101,Decimo andar,PRIMEIRO OFICIO DE REGISTRO DE IMOVEIS DE FORTALEZA,,aacisne@gmail.com,"AVENIDA ANTONIO SALES, 2187 SALA 1001",,FORTALEZA,1,0,CE,06573554000164,,3767,Registro de Imóveis,Fortaleza,948,PROVIDO,Ceará,10,CE,8532617101,,JOSE ANDERSON CISNE
01.571-9,015719,1958-12-04,Dionísio Torres,60125121,,3º Oficio de Registro de Imóveis de Fortaleza,,torifortaleza@gmail.com,Rua Joaquim Nabuco 2336,,FORTALEZA,1,0,CE,06573513000178,2147483647,3788,Registro de Imóveis,Fortaleza,948,PROVIDO,Ceará,10,CE,8532617977,,SOLANGE DE CASTRO ALMEIDA
02.041-2,020412,1914-01-17,Aldeota,60140160,,Fortaleza Cartorio do Terceiro Ofício de Notas,,maiabernardo@terra.com.br,"Av. Padre Antonio Tomas, 920",,FORTALEZA,1,0,CE,06572994000105,,3847,Notas -> Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Fortaleza,948,PROVIDO,Ceará,10,CE,8533049444,,ROBERTO FIUZA MAIA
02.042-0,020420,1889-01-01,CENTRO,60025100,,FORTALEZA PRIMEIRO OFICIO DE REGISTRO CIVIL,,cartoriojoaodedeus@yahoo.com.br,"RUA MAJOR FACUNDO, 705",,FORTALEZA,1,0,CE,06572986000150,,3877,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8532268330,8532213838,GUSTAVO LINHARES BEUTTENMULLER NETO
02.036-2,020362,1958-11-10,Centro,60025100,,Fortaleza 4º Ofício de Notas,,moraiscorreia@moraiscorreia.com.br,"Rua Major Facundo, nº 676",,FORTALEZA,1,1,CE,06573000000167,2147483647,4373,Notas -> Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Fortaleza,948,PROVIDO,Ceará,10,CE,8534645900,,ÂNGELA MARIA ARAúJO MORAIS CORREIA
01.850-7,018507,1889-01-01,MESSEJANA,60842010,,CARTÓRIO DO REGISTRO CIVIL DE MESSEJANA,Messejana,cartoriomessejana@veloxmail.com.br,"RUA CORONEL JOAQUIM BEZERRA, 79",,FORTALEZA,1,0,CE,06618953000102,8532291911,4473,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8534740510,8532291911,SILVANA MARY FARIAS GOMES
01.827-5,018275,1988-08-15,ALDEOTA,60170001,**,Cartório Botelho - Registro Civil das Pessoas Naturais 5ª Zona,**,contato@cartoriobotelho.com.br,"AV. DESEMBARGADOR MOREIRA, 1000 B",**,FORTALEZA,1,0,CE,23531114000163,32245119,4950,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8532641159,8532245119,CLARICE HELENA BOTELHO COSTA SILVA
02.037-0,020370,1889-11-21,PARANGABA,60720080,,CARTORIO DO REGISTRO CIVIL DAS PESSOAS NATURAIS DO DISTRITO DE PARANGABA-CEARA,PARANGABA,ccavalcanti@veloxmail.com.br,"RUA SETE DE SETEMBRO, 160",,FORTALEZA,1,0,CE,06573828000115,8532250542,5262,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8532451908,,JORGE RIBEIRO CAVALCANTI
02.038-8,020388,1954-05-15,ALDEOTA,60150165,,FORTALEZA CARTORIO DO 1° OFICIO DE NOTAS E PROTESTO,,financeiro@1cartoriodefortaleza.com.br,AV SANTOS DUMONT 2677,,FORTALEZA,1,0,CE,06573638000106,8534626418,5371,Protesto de Títulos -> Notas,Fortaleza,948,VAGO - SUB JUDICE,Ceará,10,CE,8534626400,,CARLOS ROBERTO TEIXEIRA GUIMARAES
01.566-9,015669,1944-12-01,ALDEOTA,60115281,SALA 110,2º OFÍCIO DE REGISTRO DE IMÓVEIS DE FORTALEZA,,cartorio@alvaromello.com.br,"RUA DR.JOSÉ LOURENÇO, 870",,FORTALEZA,1,0,CE,06573042000106,8530521911,5940,Registro de Imóveis,Fortaleza,948,PROVIDO,Ceará,10,CE,8530521900,8530521912,ANA TERESA ARAÚJO MELLO FIUZA
02.039-6,020396,1959-05-27,CENTRO,60030010,,CARTÓRIO DO REGISTRO CIVIL DA 3ª ZONA,,cartoriomoraesce@gmail.com,"RUA CASTRO E SILVA, 121 lj 97-101",,FORTALEZA,1,0,CE,16683942000151,,7416,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8532314170,8532314198,VITOR STORCH DE MORAES
01.577-6,015776,1994-07-28,jardim america,60416150,,9º ofício de notas,,nonotabelionato@veloxmail.com.br,Rua Andre Chaves nº 304,,FORTALEZA,1,0,CE,00204751000120,8534949898,10832,Notas,Fortaleza,948,VAGO - SUB JUDICE,Ceará,10,CE,8534949898,,MARIA DE FATIMA LEITãO CASTELO BRANCO
01.573-5,015735,1994-08-09,MEIRELES,60120000,,5º OFÍCIO DE REGISTRO DE IMÓVEIS,,cri5@secrel.com.br,"AV. BARÃO DE STUDART, Nº 330",,FORTALEZA,1,0,CE,00204749000150,8532195050,10848,Registro de Imóveis,Fortaleza,948,PROVIDO,Ceará,10,CE,8532195050,,MONIQUE GURGEL DE SOUZA COELHO
01.876-2,018762,1947-06-06,Antonio Bezerra,60356001,,Jaime Araripe Serviço Registral - Registro Civil das Pessoas Naturais do Distrito de Antonio Bezerra,Antonio Bezerra,cartorio@secrel.com.br,"Av.Mister Hull,4965",,FORTALEZA,1,0,CE,23562812000126,8532353301,11051,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8532353301,,JAIME DE ALENCAR ARARIPE JÚNIOR
01.551-1,015511,1994-08-28,MONTE CASTELO,60325720,,CARTÓRIO MOREIRA DE DEUS,,monicabotelho20@hotmail.com,"RUA CASIMIRO MONTENEGRO, Nº 70",,FORTALEZA,1,0,CE,00212457000160,8532239565,11346,Notas,Fortaleza,948,PROVIDO,Ceará,10,CE,8532239565,,MARIA DE FATIMA BOTELHO MOREIRA DE DEUS
01.851-5,018515,1967-02-10,Maraponga,60711445,,Cartório do Registro Civil de Mondubim,Mondubim,cartoriodemondubim@hotmail.com.br,"Rua Clemente Silva,251A",,FORTALEZA,1,0,CE,74189895000190,2147483647,11367,Registro Civil das Pessoas Naturais,Fortaleza,948,VAGO,Ceará,10,CE,8532962821,8534670769,ALEXANDRA JACKELINE MOURA ROLIM SILVA
01.946-3,019463,1976-09-09,Centro,60025130,,7º Tabelionato de Notas e Protesto de Títulos de Fortaleza - João Machado,,cjmachado7@gmail.com,Rua Floriano Peixoto  818,,FORTALEZA,1,0,CE,06573422000132,2147483647,11369,Protesto de Títulos -> Notas,Fortaleza,948,PROVIDO,Ceará,10,CE,8532011100,,CíCERO MOZART MACHADO
02.040-4,020404,1659-04-12,Parque Manibura,60834230,,Fortaleza Cartório do Segundo Ofício de Notas e protesos de Títulos,,geral@cartoriomartins.com.br,"Rua Eng. Antonio Ferreira Antero, 470",,FORTALEZA,1,1,CE,06589261000175,2147483647,11406,Notas -> Protesto de Títulos,Fortaleza,948,PROVIDO,Ceará,10,CE,8532735566,,CLáUDIO MARTINS
01.575-0,015750,1994-09-15,Aldeota,60150162,,Cartório de Registro de Imóveis da 6ª Zona da Comarca de Fortaleza,,francisco.de.passos@terra.com.br,"Av. Santos Dumont, 3060 - Loja 01",,FORTALEZA,1,0,CE,00200404000129,8532447686,11431,Registro de Imóveis,Fortaleza,948,PROVIDO,Ceará,10,CE,8532442604,8532247155,FRANCISCO DE SALES ALCANTARA PASSOS
01.999-2,019992,1971-10-29,CENTRO,60030010,,CARTORIO REGISTRO CIVIL DA 4ª ZONA,,cartorionoroesmilfont@yahoo.com.br,RUA CASTRO E SILVA Nº 38,,FORTALEZA,1,0,CE,06619019000105,2147483647,11462,Registro Civil das Pessoas Naturais,Fortaleza,948,PROVIDO,Ceará,10,CE,8532264172,,ANTONIO TOMAS DE NOROES MILFONT
14.651-4,146514,,,,,CART.REG.CIVIL DIST. ANTONIO BEZERRA - CART. ALENCAR ARARIPE,,christiannyfernandes@tjce.jus.br,"AV. MISTER HULL, Nº 4965  -  ANTÔNIO BEZERRA",,FORTALEZA,0,,CE,,,14777,,Fortaleza,948,INATIVA,Ceará,10,CE,,,
09.498-7,094987,1937-01-23,Cidade Jardim,59080900,loja 70,NATAL CARTORIO DO QUARTO OFICIO DE NOTAS,,atendimento@4oficio.com.br,"Avenida Roberto Freire, 340, Shopping Cidade Jardim",,NATAL,1,0,RN,08459224000178,32170900,323,Notas -> Registro Civil das Pessoas Naturais -> Registro de Interdições e Tutelas,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432072584,8420103292,MARIA DE FÁTIMA REBOUÇAS SAMPAIO
09.439-1,094391,1963-12-03,Igapó,59104010,,NATAL CARTÓRIO ÚNICO JUDICIÁRIO DE IGAPÓ,Igapó,cartoriodeigapo@gmail.com,"Praça São Vicente de Paula, 42",,NATAL,1,0,RN,12759429000146,8432146810,942,Registro Civil das Pessoas Naturais -> Notas,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432146810,,MARIA CONCEIÇÃO MOURA LEITE
09.496-1,094961,1931-05-02,Cidade Alta,59025280,,NATAL CARTORIO 3º OFICIO,NATAL,lianefagundes1910@hotmail.com,"Av. Junqueira Aires, 532",,NATAL,1,0,RN,08539587000113,8432114661,1074,Notas -> Registro de Imóveis,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432118271,,LIANE COELHO FAGUNDES TAVARES
09.398-9,093989,1964-02-08,CENTRO,59025003,,6º OFÍCIO DE NOTAS,,6.cartorio@supercabo.com.br,AV. RIO BRANCO - 760,,NATAL,1,0,RN,08546426000157,8432223800,1323,Registro de Imóveis -> Notas,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432112316,8432115995,DIONE ANA MACEDO DE ALMEIDA
09.495-3,094953,1934-10-29,LAGOA SECA,59022350,,NATAL CARTORIO 2 OFICIO DE NOTAS,,2oficiodenotas@oi.com.br,"Av. ALMIRANTE ALEXANDRINO DE ALENCAR, 1130",,NATAL,1,1,RN,08566168000170,32222220,2165,Notas -> Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432222220,,MARLUCE OLIMPIO FREIRE
09.497-9,094979,1987-06-08,CAPIM MACIO,59078570,,NATAL CARTÓRIO 7º OFÍCIO DE NOTAS,,7cartorionatal@7cartorio.com.br,"RUA LEÔNCIO ETELVINO DE MEDEIROS, 2935",,NATAL,1,1,RN,12647525000100,8440085862,2237,Registro de Imóveis -> Notas -> Protesto de Títulos,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8440085858,,LUIS CÉLIO SOARES
09.499-5,094995,1946-05-18,ALECRIM,59040200,,NATAL CÁRTORIO DO QUINTO OFÍCIO DE NOTAS,,quinto.oficionotas@gmail.com,"AVENIDA PRESIDENTE BANDEIRA, 364",,NATAL,1,0,RN,08523623000150,,6348,Notas -> Registro Civil das Pessoas Naturais,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432234299,8432130916,RODRIGO RAFAEL DE SOUZA PICARDI
09.530-7,095307,1850-01-30,CIDADE ALTA,59020090,,PRIMEIRO OFICIO DE NOTAS,NATAL,OFICIONATAL@HOTMAIL.COM,"RUA MOSSORÓ, Nº 332/340",NATAL,NATAL,1,0,RN,08523631000105,8432225621,6549,Protesto de Títulos -> Notas,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432223022,8432220166,JAIRO PROCÓPIO DE MOURA
09.453-2,094532,1954-05-17,Redinha,59122170,,Cartório Único do Termo Extrajudiciário da Redinha,Redinha,cartorioredinha@hotmail.com,"Rua Ulisses Guimarães, 40",,NATAL,1,0,RN,08565343000105,8432242434,7244,Registro Civil das Pessoas Naturais -> Notas,Natal,1162,PROVIDO,Rio Grande do Norte,11,RN,8432242434,84988072853,MARIA DA PAZ FERNANDES RODRIGUES
07.271-0,072710,1986-02-21,ERNESTO GEISEL,58075400,"PREDIO VERDE, EM FRENTE AO SANTA MARIA",CARTORIO LIMA GOMES,ERNESTO GEISEL,cartoriolimagomes@hotmail.com,"AVENIDA JUSCELINO KUBITSCHEK, 265 C",13º,JOAO PESSOA,1,0,PB,40975542000102,,3368,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332316518,,LINDALVA LIMA GOMES
06.915-3,069153,1986-02-18,ERNESTO GEISEL,58075400,,CARTORIO 1º OFICIO DISTRITAL DO GEISEL,,cartorioceleida@ig.com.br,R. JUSCELINO KUBISTCHEK,,JOAO PESSOA,1,1,PB,70118989000118,2147483647,3461,Notas,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332641183,,CELEIDA COSMO PEREIRA SILVA
06.917-9,069179,1954-01-05,Varadouro,58010440,,Cartório 3° Ofício de Notas Pessoa Milanez,,pessoamilanez@ig.com.br,"Praça Antonio Rabelo, 18",,JOAO PESSOA,1,1,PB,08271686000167,2147483647,3581,Notas,João Pessoa,1336,VAGO,Paraíba,12,PB,8332217723,,CRISELIDE DE FATIMA CAVALCANTI MILANEZ
07.275-1,072751,1865-02-01,CENTRO,58013520,EDF.PLAZA CENTER,SERVIÇO DE DISTRIBUIÇÃO DE TÍTULOS DE JOÃO PESSOA,,mwassis@bol.com.br,"AV. JOÃO MACHADO, 533",,JOAO PESSOA,1,0,PB,24488637000137,214748364,4573,Registro de Distribuição,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332411450,,MANOEL WELLINGNTON DE ASSIS
07.334-6,073346,1965-06-21,CENTRO,58013010,,SOUTO - SERVIÇO NOTARIAL E REGISTRAL,,cartsouto@uol.com.br,"PRAÇA 1817, 40",,JOAO PESSOA,1,0,PB,08271314000130,2147483647,4596,Notas -> Protesto de Títulos,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332413040,,MARIA ÂNGELA SOUTO CANTALICE
06.883-3,068833,1947-04-01,Bairro dos Estados,58030001,Sala 02,2º Serviço Registral Vieira de Mello,,cartoriovieirademello@gmail.com,"Avenida Presidente Epitácio Pessoa, 1133",,JOAO PESSOA,1,0,PB,41217241000174,,4692,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8330426044,,THADEU GOES VIEIRA DE MELLO
07.337-9,073379,1893-06-03,VARADOURO,58010460,,TOSCANO DE BRITO SERVIÇO NOTARIAL E REGISTRAL,,GERMANO@TOSCANODEBRITO.COM.BR,"RUA CÂNDIDO PESSOA, 31",,JOAO PESSOA,1,0,PB,08271439000160,8332417079,4723,Protesto de Títulos -> Registro de Títulos e Documentos e Civis das Pessoas Jurídicas -> Notas,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332417177,,GERMANO CARVALHO TOSCANO DE BRITO
07.211-6,072116,1954-01-14,ALTIPLANO,58046060,,EUNAPIO TORRES SERVIÇO NOTARIAL E REGISTRAL,,mfreita@uol.com.br,AV COM. RENATO RIBEIRO COUTINHO 300,,JOAO PESSOA,1,0,PB,09362310000120,8332522322,4726,Notas -> Registro de Imóveis,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332191234,8332191204,MARIA EMILIA COUTINHO TORRES DE FREITAS
06.916-1,069161,1887-04-30,Centro,58039000,,Cartório 1º Tabelionato de Notas e Registro Imobiliário da Zona Sul de João Pessoa,,walterulysses@uol.com.br,"Avenida Presidente Epitácio Pessoa, 105",,JOAO PESSOA,1,0,PB,09362211000149,2147483647,4737,Notas -> Registro de Imóveis,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332220393,,WALTER ULYSSES DE CARVALHO
06.888-2,068882,1985-07-12,Trincheiras,58011315,Qd 15 Lot 03 Conj. Renascer I / Varadouro,7º Cartorio Registro Civil (Serviço Registral Gomes de Souza ),,cleri_gomesjp@hotmail.com,"Rua Reinaldo dos Santos ,03",,JOAO PESSOA,1,0,PB,12720322000194,0,4758,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332216832,,IRENE GOMES DE SOUZA
07.207-4,072074,1970-10-25,BESSA,58037075,,DECARLINTO - SERVIÇO NOTARIAL 10. OFÍCIO DE NOTAS,,sergioalbuquerque@decarlinto.com.br,"R. ANTÔNIO GOMES CARNEIRO, 25 ESQUINA COM AV. FERNANDO LUIS HENRIQUE DOS SANTOS, 75",,JOAO PESSOA,1,0,PB,08271322000187,2147483647,4801,Notas,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332188800,,SÉRGIO GONÇALVES CAVALCANTI DE ALBUQUERQUE
07.226-4,072264,1985-02-13,MANGABEIRA,58056010,,SERVIÇO NOTARIAL VIEIRA BATISTA 2 OFICIO DISTRITAL,,cartoriovieirabatista@gmail.com,"ELIAS PEREIRA DE ARAÚJO, 40",,JOAO PESSOA,1,0,PB,24488892000180,2147483647,4840,Notas,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332396699,,ROMULO VIEIRA BATISTA
07.224-9,072249,1986-06-15,FUNCIONÁRIOS I,58087000,SALA 02,SERVIÇO REGISTRAL MARQUES COSTA - 11º OFÍCIO -,João Pessoa,cartoriomarquescosta@gmail.com,"AV. CRUZ DAS ARMAS, 3142",,JOAO PESSOA,1,0,PB,11983335000193,8332335600,4989,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,83993827748,8332335600,CLÁUDIA CRISTINA LIMA MARQUES
06.870-0,068700,1888-01-01,DOS ESTADOS,58030000,,1º Ofício de Registro Civil das Pessoas Naturais e de Interdições e Tutelas do Município e Sede da Comarca de João Pessoa,JOAO PESSOA,valber@azevedobastos.not.br,AVENIDA PRES. EPITACIO PESSOA 1145,JOAO PESSOA,JOAO PESSOA,1,0,PB,09356221000171,32445484,5658,Notas -> Registro Civil das Pessoas Naturais -> Registro de Interdições e Tutelas,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332445404,,VALBER AZEVEDO DE MIRANDA CAVALCANTI
07.234-8,072348,1822-01-01,TORRE,58040000,,MONTEIRO DA FRANCA - SERVIÇO NOTARIAL,,cartoriomonteirodafranca@gmail.com,"AV. EPITÁCIO PESSOA, 416",,JOAO PESSOA,1,0,PB,08323172000108,21474836479,6554,Notas,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332448000,,DAMÁSIO FRANCA JÚNIOR
06.889-0,068890,1959-03-01,Dos Estados,58030071,,7º OFICIO DE NOTAS DE JOAO PESSOA-PB,,eagcamacho@hotmail.com,"Av.: Santa Catarina, 67",,JOAO PESSOA,1,0,PB,08271462000155,2147483647,7985,Notas,João Pessoa,1336,VAGO,Paraíba,12,PB,8332441313,,JADER CARLOS COELHO DA FRANCA
07.225-6,072256,1985-07-12,VALENTINA FIGUEIREDO,58063400,,JOÃO PESSOA 10 CARTORIO DO REGISTRO CIVIL,JOÃO PESSOA,manfredogoes@gmail.com,"RUA ANTONIO FIRMINO DE MACEDO, 199",,JOAO PESSOA,1,0,PB,41217399000144,,8054,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8335066854,8335066854,MANFREDO GOES VIEIRA DE MELO
07.310-6,073106,1954-02-24,Cruz das Armas,58085000,,SERVIÇO REGISTRAL ALCANTARA BRITO,,cartorio2011@live.com,Av.Cruz das Armas - 499,,JOAO PESSOA,1,0,PB,41226960000151,8332426713,8150,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332426713,,MARIA DE LOURDES ALCÂNTARA BRITO WANDERLEY
06.891-6,068916,1989-10-04,Cristo Redentor,58070100,,8º SERVIÇO REGISTRAL FAUSTO DE OLIVEIRA,JOÃO PESSOA,cartfaustodeoliveira@outlook.com,"Avenida São Judas Tadeu, nº 542",,JOAO PESSOA,1,1,PB,06203879000155,,8181,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332235575,,GIVANILDO FAUSTO DE OLIVEIRA
06.885-8,068858,1985-07-12,BRISAMAR,58032100,EMPRESARIAL HOLANDA CENTER,SERVIÇO REGISTRAL SANTOS OLIVEIRA,,CARTORIOSOLIVEIRA@HOTMAIL.COM,"AVENIDA SENADOR RUY CARNEIRO, 201, SALA 2",,JOAO PESSOA,1,0,PB,11983293000190,,8201,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8388216573,8331856400,MARIA DE FÁTIMA DOS SANTOS OLIVEIRA
07.336-1,073361,1947-04-01,CENTRO,58013072,SALA 102,TERCEIRO CARTÓRIO DE REGISTRO CIVIL,JOÃO PESSOA,terceirocartorio_@hotmail.com,"AVENIDA COREMAS, 257",,JOAO PESSOA,1,1,PB,00649482000105,,10214,Registro Civil das Pessoas Naturais,João Pessoa,1336,PROVIDO,Paraíba,12,PB,8332415009,,MARIA DE FATIMA DELGADO LEAL
06.924-5,069245,1957-01-01,Tambaú,58039130,,Cartório do 5º Ofício de Tambaú (Bessa Veloso),,oficiotambau@gmail.com,"Av. Professora Maria Sales, nº 852",,JOAO PESSOA,1,0,PB,08299711000110,,10568,Notas -> Registro Civil das Pessoas Naturais,João Pessoa,1336,VAGO,Paraíba,12,PB,8335067091,,CARLOS ULYSSES DE CARVALHO NETO
06.886-6,068866,1985-01-01,Tambaú,58030130,,6 REGISTRO CIVIL DE JOAO PESSOA,JOAO PESSOA,sextooficiojoaopessoa@gmail.com,"Av. Professora Maria Sales, nº 852",JOAO PESSOA,JOAO PESSOA,1,0,PB,00000000000000,,10569,Registro Civil das Pessoas Naturais,João Pessoa,1336,VAGO,Paraíba,12,PB,8335067091,,CARLOS ULYSSES DE CARVALHO NETO
07.182-9,071829,1957-05-11,TAMBAU,58039100,,TRAVASSOS- 4º TABELIONATO DE NOTAS,JOAO PESSOA,CARTORIOTRAVASSOSNOTAS@HOTMAIL.COM,"AV NEGO, N 366",,JOAO PESSOA,1,0,PB,08271447000107,,10655,Notas,João Pessoa,1336,VAGO,Paraíba,12,PB,8332212478,8332419439,JOÃO RICARDO CAVALCANTI TRAVASSOS
06.863-5,068635,1986-05-02,MANGABEIRA I,58055540,Sl 01,12° CARTÓRIO DE REGISTRO CIVIL DISTRITAL DE MANGABEIA - JOÃO PESSOA/PB,MANGABEIRA,cartoriopereialima@ig.com.br,"AV. COMERCIANTE ALFREDO FERREIRA DA ROCHA, 378",,JOAO PESSOA,1,0,PB,09455738000118,2147483647,10871,Registro Civil das Pessoas Naturais,João Pessoa,1336,VAGO,Paraíba,12,PB,8332386588,,MARIA VALDILENE PEREIRA LIMA
07.150-6,071506,1965-06-14,Tambauzinho,58045000,,Cartorio Garibaldi 9º Oficio de Notas,,cartoriogaribaldi@gmail.com,Av. Presidente Epitácio Pessoa nº2640,,JOAO PESSOA,1,0,PB,09357864000130,2147483647,12073,Notas,João Pessoa,1336,VAGO,Paraíba,12,PB,8332430377,,NENETTE ELOY DE SOUZA
15.721-4,157214,,,,,9º Serviço de Registro Civil das Pessoas Naturais da Comarca de João Pessoa,,cartoriomarquescosta@gmail.com,Av. Cruz das Armas  Ed. Planalto Center - SL 02,,JOAO PESSOA,1,0,PB,,,15825,,João Pessoa,1336,,Paraíba,12,PB,8332335600,,
07.363-5,073635,1922-07-19,SANTO ANTÔNIO,50010240,CARTÓRIO MARIANI,"2º CARTÓRIO DE REGISTRO DE TÍTULOS, DOCUMENTOS E CIVIL DAS PESSOAS JURÍDICAS DA CAPITAL",,rtdrecife@gmail.com,"Rua do Imperador D. Pedro II, 370",,RECIFE,1,0,PE,10346317000138,,7134,Registro de Títulos e Documentos e Civis das Pessoas Jurídicas,Recife,1595,CONVERSÃO EM DILIGÊNCIA,Pernambuco,13,PE,8131275999,81981600971,ONIVALDO MOISéS MARIANI
07.461-7,074617,1888-10-15,ARRUDA,52120000,,CARTÓRIO DE REGISTRO CIVIL DO 15º DISTRITO DA CAPITAL/RECIFE/PE,ARRUDA - 15º DISTRITO JUDICIÁRIO DA CAPITAL,15cartorioregcivil.maria@gmail.com,"AVENIDA BEBERIBE, 1345",,RECIFE,1,0,PE,05138218000120,8134491061,7145,Registro Civil das Pessoas Naturais,Recife,1595,VAGO,Pernambuco,13,PE,8134491061,,ADRIANA CAMARGO FIRMINO DA SILVA
07.360-1,073601,1956-11-29,BOA VISTA,50070160,,2° OFÍCIO DE REGISTRO DE IMÓVEIS DO RECIFE,,cartorio2rirecife@hotmail.com,"AV AGAMENOM MAGALHÃES, 4407",,RECIFE,1,0,PE,10509667000178,2147483647,7155,Registro de Imóveis,Recife,1595,CONVERSÃO EM DILIGÊNCIA,Pernambuco,13,PE,8134230410,,ROBERTO LÚCIO DE SOUZA PEREIRA
07.374-2,073742,1982-04-22,MADALENA,50720000,,4º REGISTRO DE IMÓVEIS DA CAPITAL,,cartorio4rirecife@outlook.com,"RUA JOSÉ OSÓRIO,Nº571",,RECIFE,1,0,PE,24565947000108,2147483647,7213,Registro de Imóveis,Recife,1595,VAGO,Pernambuco,13,PE,8132282708,,ROBERTO LÚCIO DE SOUZA PEREIRA
07.490-6,074906,1857-10-16,SANTO ANTONIO,50010240,,CARTÓRIO DO 2º OFÍCIO DE NOTAS DA CAPITAL,,segundooficiodenotas@hotmail.com,"RUA IMPERADOR DOM PEDRO II, N.º 390",,RECIFE,1,0,PE,11573789000196,8137979354,7218,Notas,Recife,1595,CONVERSÃO EM DILIGÊNCIA,Pernambuco,13,PE,8137979356,8137979354,JOÃO DIAS DE ANDRADE
07.750-3,077503,1888-10-15,AFOGADOS,50770720,,CARTORIO DE REGISTRO CIVIL DAS PESSOAS NATURAIS,OITAVO DISTRITO,rcpn@cartoriodeafogados.com.br,"RUA SÃO MIGUEL, 116",,RECIFE,1,0,PE,02123414000133,,7270,Notas -> Registro Civil das Pessoas Naturais,Recife,1595,CONVERSÃO EM DILIGÊNCIA,Pernambuco,13,PE,8134281357,8134280920,LOURIVAL BRITO PEREIRA
